symbol,company_name,series,isin_code,sector
M&M,Mahindra & Mahindra Limited,EQ,INE101A01026,Passenger Cars & Utility Vehicles
BHEL,Bharat Heavy Electricals Limited,EQ,INE257A01026,Heavy Electrical Equipment
SHRIRAMFIN,Shriram Finance Limited,EQ,INE721A01047,Non Banking Financial Company (NBFC)
BAJAJFINSV,Bajaj Finserv Limited,EQ,INE918I01026,Holding Company
HINDZINC,Hindustan Zinc Limited,EQ,INE267A01025,Zinc
APOLLOTYRE,Apollo Tyres Limited,EQ,INE438A01022,Tyres & Rubber Products
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,INE094A01015,Refineries & Marketing
ATGL,Adani Total Gas Limited,EQ,INE399L01023,LPG/CNG/PNG/LNG Supplier
GROWW,Billionbrains Garage Ventures Limited,EQ,INE0HOQ01053,Stockbroking & Allied
CANBK,Canara Bank,EQ,INE476A01022,Public Sector Bank
SAIL,Steel Authority of India Limited,EQ,INE114A01011,Iron & Steel
GRASIM,Grasim Industries Limited,EQ,INE047A01021,Cement & Cement Products
COALINDIA,Coal India Limited,EQ,INE522F01014,Coal
LUPIN,Lupin Limited,EQ,INE326A01037,Pharmaceuticals
NLCINDIA,NLC India Limited,EQ,INE589A01014,Power Generation
AXISBANK,Axis Bank Limited,EQ,INE238A01034,Private Sector Bank
PERSISTENT,Persistent Systems Limited,EQ,INE262H01021,Computers - Software & Consulting
BIOCON,Biocon Limited,EQ,INE376G01013,Pharmaceuticals
ETERNAL,ETERNAL LIMITED,EQ,INE758T01015,E-Retail/ E-Commerce
TITAN,Titan Company Limited,EQ,INE280A01028,Gems Jewellery And Watches
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,INE089A01031,Pharmaceuticals
ASHOKLEY,Ashok Leyland Limited,EQ,INE208A01029,Commercial Vehicles
HUDCO,Housing & Urban Development Corporation Limited,EQ,INE031A01017,Financial Institution
TMCV,Tata Motors Limited,EQ,INE1TAE01010,Commercial Vehicles
HCLTECH,HCL Technologies Limited,EQ,INE860A01027,Computers - Software & Consulting
COFORGE,Coforge Limited,EQ,INE591G01025,Computers - Software & Consulting
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,INE044A01036,Pharmaceuticals
POWERINDIA,Hitachi Energy India Limited,EQ,INE07Y701011,Heavy Electrical Equipment
SUZLON,Suzlon Energy Limited,EQ,INE040H01021,Heavy Electrical Equipment
BPCL,Bharat Petroleum Corporation Limited,EQ,INE029A01011,Refineries & Marketing
ONGC,Oil & Natural Gas Corporation Limited,EQ,INE213A01029,Oil Exploration & Production
TVSMOTOR,TVS Motor Company Limited,EQ,INE494B01023,2/3 Wheelers
INDUSTOWER,Indus Towers Limited,EQ,INE121J01017,Telecom - Infrastructure
IOC,Indian Oil Corporation Limited,EQ,INE242A01010,Refineries & Marketing
NATIONALUM,National Aluminium Company Limited,EQ,INE139A01034,Aluminium
